Fund,Fund Manager,Category,25-Apr,25-May,25-Jun,25-Jul,25-Aug,25-Sep,25-Oct,25-Nov,25-Dec,26-Jan,classification
Kotak Nifty 1D Rate Liquid ETF,Abhishek Bisen,DT-LIQ,0.47,0.47,0.42,0.43,0.44,0.43,0.44,0.42,0.43,0.43,Debt : Liquid
Kotak Nifty 200 Momentum 30 ETF,Devender Singhal,EQ-ETF,-,-,-,-,-,-,-,2.22,-3.25,-2.65,Equity : ETFs
Kotak Nifty 200 Momentum 30 Index Fund Reg(G),Devender Singhal,EQ-INDX,4.12,4.26,4.57,-5.21,-1.9,0.63,5.29,2.17,-3.3,-2.69,Equity : Index Funds
Kotak Nifty 200 Quality 30 Index Fund Reg(G),Devender Singhal,EQ-INDX,-,-,-,-,1.04,-0.24,3.77,1.25,0.27,-1.82,Equity : Index Funds
Kotak Nifty 50 Equal Weight Index Fund Reg(G),Devender Singhal,EQ-INDX,3.07,2.35,3.77,-3.22,0.4,1.38,4.14,1.01,0.25,-1.92,Equity : Index Funds
Kotak Nifty 50 ETF,Devender Singhal,EQ-ETF,3.48,1.92,3.35,-2.76,-1.21,0.76,4.61,1.93,-0.28,-3.04,Equity : ETFs
Kotak Nifty 50 Index Fund Reg(G),Devender Singhal,EQ-INDX,3.46,1.88,3.32,-2.79,-1.24,0.73,4.58,1.9,-0.31,-3.07,Equity : Index Funds
Kotak Nifty 50 Value 20 ETF,Devender Singhal,EQ-ETF,0.91,1.78,1.6,-3.29,0.04,-0.14,4.01,1.64,1.09,-0.22,Equity : ETFs
Kotak Nifty AAA Bond Financial Services Mar 2028 Index Fund Reg(G),Abhishek Bisen,DT-SD,-,-,-,-,0.25,0.62,0.68,0.6,0.26,-0.01,Debt : Short Duration
Kotak Nifty Alpha 50 ETF,Devender Singhal,EQ-ETF,3.63,7.36,5.17,-3.15,-5.92,-0.77,4.39,2.45,-3.57,-3.33,Equity : ETFs
Kotak Nifty Alpha 50 Index Fund Reg(G),Devender Singhal,EQ-INDX,-,-,-,-,-,-0.9,4.27,2.35,-3.68,-3.37,Equity : Index Funds
Kotak Nifty Bank ETF,Devender Singhal,EQ-ETF,6.82,1.35,3.09,-2.26,-3.91,1.81,5.73,3.41,-0.31,0.03,Equity : ETFs
Kotak Nifty Chemicals ETF,Devender Singhal,EQ-ETF,-,-,-,-,-,-,-,-,0.84,-4.23,Equity : ETFs
Kotak Nifty Commodities Index Fund Reg(G),Devender Singhal,EQ-THEM,0.61,0.76,4.15,-2.34,-1.75,4.53,4.65,-2.05,3.18,1.36,Equity : Thematic
Kotak Nifty Financial Services Ex Bank Index Fund Reg(G),Devender Singhal,EQ-INDX,2.88,7.21,5.88,-5.68,-2.96,3.96,6.08,3.19,-0.77,-3.28,Equity : Index Funds
Kotak Nifty G Sec July 2033 Index Fund Reg(G),Abhishek Bisen,DT-LD,2.01,1.22,-0.55,0.41,-0.9,0.82,0.61,0.76,-0.01,0.09,Debt : Long Duration
Kotak NIFTY India Consumption ETF,Devender Singhal,EQ-ETF,5.56,0.8,4.14,-0.66,2.88,-0.01,2.91,0.51,-1.47,-6.67,Equity : ETFs
Kotak Nifty India Tourism Index Fund Reg(G),Devender Singhal,EQ-INDX,4.75,-0.71,4.34,-1.76,-1.24,-2.49,0.99,1.15,-4.71,-10.51,Equity : Index Funds
Kotak Nifty IT ETF,Devender Singhal,EQ-ETF,-2.84,4.71,4.53,-9.04,-0.34,-4.35,6.88,4.88,1.26,0.89,Equity : ETFs
Kotak Nifty Midcap 150 ETF,Devender Singhal,EQ-ETF,4.89,6.37,4.05,-2.75,-2.78,1.37,4.78,1.69,-0.55,-3.51,Equity : ETFs
Kotak Nifty Midcap 150 Index Fund Reg(G),Devender Singhal,EQ-INDX,2.62,6.24,4.07,-2.83,-2.86,1.32,4.69,1.58,-0.62,-3.56,Equity : Index Funds
Kotak NIFTY Midcap 150 Momentum 50 Index Fund Reg(G),Devender Singhal,EQ-INDX,3.8,5.44,4.75,-4.26,-2.99,-1.26,5.38,2.67,-2.81,-2.34,Equity : Index Funds
Kotak Nifty Midcap 50 ETF,Devender Singhal,EQ-ETF,5.18,4.55,5.32,-3.67,-2.98,1.42,6.65,2.55,-0.97,-3.23,Equity : ETFs
Kotak NIFTY Midcap 50 Index Fund Reg(G),Devender Singhal,EQ-INDX,5.05,4.49,5.23,-3.74,-3.05,1.32,6.58,2.48,-1.05,-3.31,Equity : Index Funds
Kotak NIFTY MNC ETF,Devender Singhal,EQ-ETF,2.96,4.17,3.11,-0.48,2.32,1.62,1.23,0.76,0.54,-0.49,Equity : ETFs
Kotak Nifty Next 50 Index Fund Reg(G),Devender Singhal,EQ-INDX,2.29,3.48,3.39,-2.67,-1.83,3.11,2.91,-0.99,0.27,-2.22,Equity : Index Funds
Kotak Nifty PSU Bank ETF,Devender Singhal,EQ-ETF,4.41,7.23,3.14,-4.88,-1.43,11.36,8.7,3.99,0.17,5.71,Equity : ETFs
Kotak Nifty SDL Apr 2027 Top 12 Equal Weight Index Fund Reg(G),Abhishek Bisen,DT-M&LD,1.28,1.01,0.33,0.58,0.15,0.54,0.65,0.45,0.5,0.48,Debt : Medium to Long Duration
Kotak Nifty SDL Apr 2032 Top 12 Equal Weight Index Fund Reg(G),Abhishek Bisen,DT-LD,2.04,1.41,-0.7,0.95,-1.67,0.71,0.68,0.51,-0.2,0.12,Debt : Long Duration
Kotak Nifty SDL Jul 2026 Index Fund Reg(G),Abhishek Bisen,DT-M&LD,0.96,0.83,0.46,0.53,0.29,0.53,0.51,0.43,0.46,0.42,Debt : Medium to Long Duration
Kotak Nifty SDL Jul 2033 Index Fund Reg(G),Abhishek Bisen,DT-LD,1.88,1.24,-0.5,0.05,-1.45,0.44,0.92,0.83,-0.66,0.41,Debt : Long Duration
Kotak Nifty SDL Plus AAA PSU Bond Jul 2028 60:40 Index Fund Reg(G),Abhishek Bisen,DT-M&LD,1.68,1.24,0.24,0.55,-0.43,0.82,0.79,0.48,0.43,0.03,Debt : Medium to Long Duration
Kotak Nifty Smallcap 250 Index Fund Reg(G),Devender Singhal,EQ-INDX,1.6,9.53,5.68,-3.63,-3.64,1.05,3.66,-3.36,-0.35,-5.56,Equity : Index Funds
Kotak Nifty Smallcap 50 Index Fund Reg(G),Devender Singhal,EQ-INDX,2.73,7.77,7.25,-5.57,-4.62,1.49,5.26,-1.66,-1.16,-4.86,Equity : Index Funds
Kotak Nifty Top 10 Equal Weight Index Fund Reg(G),Devender Singhal,EQ-INDX,-,1.62,2.6,-4.75,-2.09,-0.37,6.13,2.19,0.3,-4.63,Equity : Index Funds
Kotak Nifty200 Quality 30 ETF,Devender Singhal,EQ-ETF,-,-,-,-,1.1,-0.21,3.81,1.27,0.32,-1.77,Equity : ETFs
Kotak Nifty500 Momentum 50 Index Fund Reg(G),Devender Singhal,EQ-INDX,-,-,-,-,-,-,-,-,-,-3.7,Equity : Index Funds
Kotak Overnight Fund Reg(G),Deepak Agrawal,DT-ON,0.48,0.48,0.43,0.44,0.45,0.44,0.45,0.43,0.44,0.44,Debt : Overnight
Kotak Pioneer Fund Reg(G),Harish Bihani,EQ-THEM,4.09,6.09,4.7,0.88,-0.01,0.46,2.01,-0.86,-0.73,-4.52,Equity : Thematic
Kotak Quant Fund Reg(G),Harsha Upadhyaya,EQ-THEM,2.64,0.06,4.47,-1.85,-1.29,1.64,2.93,1.06,0.04,-2.35,Equity : Thematic
Kotak Rural Opportunities Fund Reg(G),Arjun Khanna,EQ-THEM,-,-,-,-,-,-,-,-,2.05,-3.39,Equity : Thematic
Kotak Savings Fund(G),Deepak Agrawal,DT-USD,0.74,0.63,0.56,0.54,0.39,0.49,0.52,0.46,0.46,0.3,Debt : Ultra Short Duration
Kotak Silver ETF,Jeetu Valechha Sonar,GOLD-ETF,-5.86,3.36,8.44,3.92,6.59,20.3,4.64,10.1,39.17,44.67,Gold : ETFs
Kotak Silver ETF FoF Reg(G),Jeetu Valechha Sonar,GOLD-MF,-6.27,3.14,8.29,4.55,5.81,19.72,4.55,9.72,38.6,30.23,Gold : MFs
Kotak Small Cap Fund(G),Harish Bihani,EQ-SML,0.28,8.79,3.51,-1.36,-2.93,-0.61,2.77,-3.3,-1.02,-5.09,Equity : Small Cap
Kotak Special Opportunities Fund Reg(G),Devender Singhal,EQ-THEM,3.46,5.47,2.15,-2.9,-0.71,2.62,3.37,1.6,0.03,-8.19,Equity : Thematic
Kotak Technology Fund Reg(G),Shibani Kurian,EQ-TECH,0.99,3.97,5.49,-5.87,-0.54,-2.88,5.29,2.65,0.49,-2.58,Equity : Sectoral - Technology
Kotak Transportation & Logistics Fund Reg(G),Nalin Rasik Bhatt,EQ-AUTO,1.57,7.8,5.01,0.88,4.01,3.37,0.92,0.81,0.03,-4.28,Equity : Sectoral - Auto
Kotak US Specific Equity Passive FOF Reg(G),Arjun Khanna,FOF-OVR,0.77,10.61,6.38,5.94,0.26,6.03,5.24,-1.27,0.75,3.19,FoFs : Overseas
LIC MF Aggressive Hybrid Fund(G),Karan Doshi,HY-EQ,2.16,4.89,2.56,-2.11,-1.85,1.07,3.39,0.28,-0.11,-3.31,Hybrid : Equity Oriented
LIC MF Arbitrage Fund Reg(G),Sumit Bhatnagar,HY-ARB,0.7,0.37,0.45,0.46,0.43,0.32,0.47,0.51,0.51,0.56,Hybrid : Arbitrage
LIC MF Balanced Advantage Fund Reg(G),Yogesh Patil,HY-EQ,1.5,3.34,1.49,-1.99,-2.31,0.56,2.46,-0.02,-0.63,-1.89,Hybrid : Equity Oriented
LIC MF Banking & Financial Services Fund Reg(G),Jaiprakash Toshniwal,EQ-FIN,5.34,4.06,3.37,-2.01,-3.48,1.86,5.95,3.06,-0.73,-0.64,Equity : Sectoral - Financial Services
LIC MF Banking & PSU Fund Reg(G),Pratik Shroff,DT-B&PSU,1.51,1.18,-0.09,0.56,-0.18,0.64,0.71,0.54,0.02,-0.09,Debt : Banking & PSU
LIC MF BSE Sensex ETF,Sumit Bhatnagar,EQ-ETF,3.67,1.74,2.96,-2.76,-1.56,0.57,4.67,2.14,-0.56,-3.45,Equity : ETFs
LIC MF BSE Sensex Index Fund Reg(G),Sumit Bhatnagar,EQ-INDX,3.58,1.66,2.87,-2.84,-1.64,0.47,4.57,2.05,-0.65,-3.52,Equity : Index Funds
LIC MF Childrens Fund Reg(G),Karan Doshi,HY-SOL,-0.77,4.97,2.99,-1.07,-2.7,1.22,2.98,0.4,-0.97,-4.42,Hybrid : Solution Oriented
LIC MF Conservative Hybrid Fund(G),Karan Doshi,HY-DT(CO),1.43,1.47,0.8,-0.69,-1.39,0.73,1.54,1.29,0.03,-0.42,Hybrid : Debt Oriented (Conservative)
LIC MF Consumption Fund Reg(G),Sumit Bhatnagar,EQ-CONS,-,-,-,-,-,-,-,-,-0.58,-4.6,Equity : Thematic - Consumption
LIC MF Dividend Yield Fund Reg(G),Dikshit Mittal,EQ-DIV,1.83,6.75,3.04,-2.97,-2.45,1.58,4.6,-0.59,-1.14,-4.09,Equity : Thematic - Dividend Yield
LIC MF ELSS Tax Saver Reg(G),Yogesh Patil,EQ-ELSS,0.31,2.84,3.23,-1.53,-2.56,0.96,2.94,-0.09,-0.34,-3.6,Equity : Tax Saving (ELSS)
LIC MF Equity Savings Fund(G),Sumit Bhatnagar,HY-EQ,2.43,2.8,1.14,-0.42,-0.52,0.91,1.69,-0.4,-0.24,-1.94,Hybrid : Equity Oriented
LIC MF Flexi Cap Fund Reg(G),Karan Doshi,EQ-FLEX,0.82,5.93,4.33,0.15,-0.5,1.97,4.35,0.37,-1,-4.36,Equity : Flexi Cap
LIC MF Focused Fund Reg(G),Jaiprakash Toshniwal,EQ-LC,3.93,6.19,2.81,-3.94,-0.96,-0.59,3.95,-1.3,0.39,-5.17,Equity : Large Cap
LIC MF Gilt Fund PF(G),Pratik Shroff,DT-GILT,2.21,0.07,-2,0.45,-2.64,1.57,0.07,-0.39,0.73,-0.24,Debt : Gilt
LIC MF Gilt Fund Reg(G),Pratik Shroff,DT-GILT,2.21,0.07,-2,0.45,-2.64,1.57,0.07,-0.39,0.73,-0.24,Debt : Gilt
LIC MF Gold ETF,Sumit Bhatnagar,GOLD-ETF,4.92,0.15,0.32,2.5,3.77,12.51,5.7,4.5,3.57,19.81,Gold : ETFs
LIC MF Gold ETF FoF(G),Sumit Bhatnagar,GOLD-MF,6.72,-0.51,0.94,2.22,3.89,12.31,3.9,4.82,9.8,19.1,Gold : MFs
LIC MF Healthcare Fund Reg(G),Karan Doshi,EQ-PHRM,-0.87,0.38,3.25,3.64,-3.52,-0.11,2.84,0.31,-2.71,-5.94,Equity : Sectoral - Pharma
LIC MF Infra Fund Reg(G),Yogesh Patil,EQ-INFRA,-0.17,12.8,3.31,-2.12,-4.58,3.43,4.14,-2.77,-0.7,-3.33,Equity : Sectoral - Infrastructure
LIC MF Large & Midcap Fund Reg(G),Yogesh Patil,EQ-L&M,0.6,5.72,3.46,-2.62,-3.01,1.02,3.71,-0.11,-0.53,-3.78,Equity : Large & Mid Cap
LIC MF Large Cap Fund Reg(G),Sumit Bhatnagar,EQ-LC,4.19,2.64,2.76,-2.52,-1.27,0.18,4.16,0.76,-0.65,-3.62,Equity : Large Cap
LIC MF Liquid Fund Reg(G),Rahul Singh,DT-LIQ,0.57,0.55,0.5,0.48,0.46,0.47,0.47,0.47,0.49,0.44,Debt : Liquid
LIC MF Low Duration Fund(G),Rahul Singh,DT-LOWD,0.89,0.68,0.49,0.55,0.34,0.54,0.49,0.45,0.38,0.15,Debt : Low Duration
LIC MF Manufacturing Fund Reg(G),Yogesh Patil,EQ-THEM,1.85,11.77,2.1,-0.2,-2.84,2.79,2.93,-1.13,-1.68,-3.34,Equity : Thematic
LIC MF Medium to Long Duration Fund Reg(G),Pratik Shroff,DT-M&LD,1.9,1.11,-0.48,0.28,-1.24,0.73,0.66,0.43,0.07,0.04,Debt : Medium to Long Duration
LIC MF Midcap Fund Reg(G),Karan Doshi,EQ-MID,0.85,7.97,3.96,-2.69,-3.13,0.93,3.74,0.24,-1.28,-4.57,Equity : Mid Cap
LIC MF Money Market Fund Reg(G),Rahul Singh,DT-MM,0.78,0.65,0.62,0.55,0.43,0.52,0.5,0.48,0.5,0.29,Debt : Money Market
LIC MF Multi Asset Allocation Fund Reg(G),Jaiprakash Toshniwal,HY-MULTI,1.85,2.67,2.53,-0.55,-0.77,4.24,3.92,0.36,1.68,0.6,Hybrid : Multi Asset Allocation
LIC MF Multi Cap Fund Reg(G),Dikshit Mittal,EQ-MLC,1.47,7.4,3.09,-0.69,-3.5,1.8,4.7,-0.1,-1.3,-4.29,Equity : Multi Cap
LIC MF Nifty 100 ETF,Sumit Bhatnagar,EQ-ETF,3.27,2.16,3.38,-2.75,-1.33,1.16,4.31,1.42,-0.2,-2.93,Equity : ETFs
LIC MF Nifty 50 ETF,Sumit Bhatnagar,EQ-ETF,3.48,1.92,3.35,-2.76,-1.21,0.75,4.61,1.91,-0.27,-3.04,Equity : ETFs
LIC MF Nifty 50 Index Fund(G),Sumit Bhatnagar,EQ-INDX,3.38,1.84,3.27,-2.84,-1.29,0.66,4.51,1.81,-0.36,-3.13,Equity : Index Funds
LIC MF Nifty 8 13 yr G Sec ETF,Pratik Shroff,DT-ETF,2.09,1.05,-0.21,0.22,-1.08,0.76,0.83,0.42,0.09,-0.09,Debt : ETFs
LIC MF Nifty Midcap 100 ETF,Sumit Bhatnagar,EQ-ETF,4.74,6.14,4.1,-3.83,-2.84,1.38,5.84,2.11,-0.93,-3.38,Equity : ETFs
LIC MF Nifty Next 50 Index Fund(G),Sumit Bhatnagar,EQ-INDX,2.25,3.37,3.55,-2.66,-1.85,3.09,2.88,-1.01,0.24,-2.23,Equity : Index Funds
LIC MF Overnight Fund Reg(G),Rahul Singh,DT-ON,0.47,0.48,0.43,0.44,0.45,0.43,0.46,0.43,0.44,0.44,Debt : Overnight
LIC MF Short Duration Fund Reg(G),Pratik Shroff,DT-SD,1.39,1.05,0.11,0.59,-0.2,0.63,0.62,0.5,0.05,0.04,Debt : Short Duration
LIC MF Small Cap Fund Reg(G),Dikshit Mittal,EQ-SML,-0.19,7.28,3.09,-0.29,-3.59,2.16,2.08,-3.37,-0.61,-5.52,Equity : Small Cap
LIC MF ULIS,Dikshit Mittal,HY-SOL,2.35,4.29,2.2,-3.22,-1.36,-0.59,2.54,-0.07,-1.06,-2.51,Hybrid : Solution Oriented
LIC MF Ultra Short Duration Fund Reg(G),Rahul Singh,DT-USD,0.68,0.58,0.54,0.51,0.4,0.47,0.45,0.4,0.43,0.25,Debt : Ultra Short Duration
LIC MF Value Fund Reg(G),Sumit Bhatnagar,EQ-VAL,-0.31,7.26,2.7,-0.82,-3.5,2.04,3.96,1.68,-2.07,-2.56,Equity : Value / Contra
Magnum Hybrid Long Short Fund Reg(G),Gaurav Mehta,HY-EQ,-,-,-,-,-,-,-,1.18,0.89,-0.9,Hybrid : Equity Oriented
Mahindra Manulife Aggressive Hybrid Fund Reg(G),Fatema Pacha,HY-EQ,3.19,2.23,3.16,-1.64,-0.79,0.22,2.73,0.97,-0.11,-2.38,Hybrid : Equity Oriented
Mahindra Manulife Arbitrage Fund Reg(G),Mitul Doshi,HY-ARB,0.53,0.24,0.47,0.42,0.37,0.3,0.48,0.49,0.54,0.52,Hybrid : Arbitrage
Mahindra Manulife Asia Pacific REITs FOF Reg(G),Krishna Sanghavi,FOF-OVR,1.02,1.75,5.47,3.64,3.9,2.16,0.78,-0.16,1.58,5.44,FoFs : Overseas
Mahindra Manulife Balanced Advantage Fund Reg(G),Neelesh Dhamnaskar,HY-DYN,2.23,2.61,2.65,-1.3,-2.11,0.96,3.24,0.04,-0.46,-1.09,Hybrid : Dynamic Asset Allocation
Mahindra Manulife Banking & Financial Services Fund Reg(G),Vishal Jajoo,EQ-FIN,-,-,-,-,-3.49,3.09,5.38,2.27,0.24,0.49,Equity : Sectoral - Financial Services
Mahindra Manulife Business Cycle Fund Reg(G),Krishna Sanghavi,EQ-THEM,3.32,3.64,3.55,-3.27,-1.55,1.74,5.15,1.12,0.44,-0.99,Equity : Thematic
Mahindra Manulife Consumption Fund Reg(G),Navin Matta,EQ-CONS,4.47,1.47,2.47,-0.29,2.21,-0.19,2.42,-0.79,-0.96,-6.58,Equity : Thematic - Consumption
Mahindra Manulife Dynamic Bond Fund Reg(G),Rahul Pal,DT-CR,1.69,0.79,-0.64,0.5,-0.55,0.91,0.45,0.25,-0.03,-0.17,Debt : Credit Risk
Mahindra Manulife ELSS Tax Saver Fund Reg(G),Fatema Pacha,EQ-ELSS,3.31,3.21,3.48,-2.53,-1.23,0.24,3.25,1.45,-0.65,-3.28,Equity : Tax Saving (ELSS)
Mahindra Manulife Equity Savings Fund Reg(G),Renjith Sivaram,HY-EQ,1.24,1.62,1.49,-0.44,-0.44,1.58,1.75,0.76,-0.01,-0.73,Hybrid : Equity Oriented
Mahindra Manulife Flexi Cap Fund Reg(G),Fatema Pacha,EQ-FLEX,3.49,2.87,3.68,-2.35,-1.62,0.69,3.29,1.45,-0.77,-3.21,Equity : Flexi Cap
Mahindra Manulife Focused Fund Reg(G),Krishna Sanghavi,EQ-FLEX,2.9,1.37,3.22,-3.13,-1.3,1.2,4.29,0.94,-0.56,-1.16,Equity : Flexi Cap
Mahindra Manulife Income Plus Arbitrage Active FOF Reg(G),Amit Garg,FOF-DOM,-,-,-,-,-,-,-,-,-,0.24,FoFs : Domestic
Mahindra Manulife Large & Mid Cap Fund Reg(G),Neelesh Dhamnaskar,EQ-L&M,3.22,4.72,4.63,-3.22,-3.41,0.99,4.99,0.25,-0.92,-1.34,Equity : Large & Mid Cap
Mahindra Manulife Large Cap Fund Reg(G),Fatema Pacha,EQ-LC,3.9,1.27,3.79,-3.26,-1.35,-0.37,4.02,1.86,0.31,-2.55,Equity : Large Cap
Mahindra Manulife Liquid Fund Reg(G),Rahul Pal,DT-LIQ,0.57,0.55,0.51,0.48,0.47,0.47,0.48,0.48,0.5,0.43,Debt : Liquid
Mahindra Manulife Low Duration Fund Reg(G),Rahul Pal,DT-LOWD,0.87,0.67,0.5,0.59,0.36,0.52,0.51,0.45,0.37,0.18,Debt : Low Duration
Mahindra Manulife Manufacturing Fund Reg(G),Renjith Sivaram,EQ-THEM,1.02,7.74,2.53,-0.82,-2.47,2.79,2.63,-0.59,0.17,-3.93,Equity : Thematic
Mahindra Manulife Mid Cap Fund Reg(G),Kirti Dalvi,EQ-MID,2.26,4.73,4.13,-3.49,-1.94,1.23,4.08,0.7,-0.23,-1.97,Equity : Mid Cap
Mahindra Manulife Multi Asset Allocation Fund Reg(G),Renjith Sivaram,HY-MULTI,1.76,2.39,2.73,-0.39,-0.06,4.52,3.82,1.42,1.53,2.05,Hybrid : Multi Asset Allocation
Mahindra Manulife Multi Cap Fund Reg(G),Vishal Jajoo,EQ-MLC,2.61,4.81,5.14,-2.01,-3.3,0.76,5.03,0.3,-0.78,-2.03,Equity : Multi Cap
Mahindra Manulife Overnight Fund Reg(G),Rahul Pal,DT-ON,0.48,0.48,0.43,0.44,0.45,0.43,0.45,0.43,0.44,0.44,Debt : Overnight
Mahindra Manulife Short Duration Fund Reg(G),Rahul Pal,DT-SD,1.33,0.83,0.27,0.58,0.05,0.56,0.54,0.46,0.22,0.01,Debt : Short Duration
Mahindra Manulife Small Cap Fund Reg(G),Vishal Jajoo,EQ-SML,1.42,6.72,5.01,-1.27,-2.62,1.41,5.43,-2.23,-0.79,-5.75,Equity : Small Cap
Mahindra Manulife Ultra Short Duration Fund Reg(G),Rahul Pal,DT-USD,0.7,0.61,0.59,0.52,0.41,0.5,0.48,0.46,0.47,0.24,Debt : Ultra Short Duration
Mahindra Manulife Value Fund Reg(G),Krishna Sanghavi,EQ-VAL,2.8,3.53,4.12,-3.65,-2.13,2.21,4.57,1.33,1.05,-0.65,Equity : Value / Contra
Mirae Asset Aggressive Hybrid Fund Reg(G),Harshad Borawake,HY-EQ,2.4,2.58,2.91,-1.17,-1.81,1.38,3.38,0.75,0.59,-1.56,Hybrid : Equity Oriented
Mirae Asset Arbitrage Fund Reg(G),Jignesh Rao,HY-ARB,0.55,0.32,0.56,0.45,0.37,0.37,0.51,0.48,0.56,0.61,Hybrid : Arbitrage
Mirae Asset Balanced Advantage Fund Reg(G),Harshad Borawake,HY-DYN,2.01,2.15,2.09,-0.87,-1.31,1.1,2.53,0.72,0.37,-1.15,Hybrid : Dynamic Asset Allocation
Mirae Asset Banking and Financial Services Fund Reg(G),Abhijith Vara,EQ-FIN,5.25,2.51,4.23,-2.38,-3.63,1.99,5.36,3.87,-0.52,0.09,Equity : Sectoral - Financial Services
Mirae Asset Banking and PSU Fund Reg(G),Kruti Chheta,DT-B&PSU,1.5,1.06,-0.17,0.52,-0.18,0.56,0.74,0.43,0.07,-0.06,Debt : Banking & PSU
Mirae Asset BSE 200 Equal Weight ETF,Ekta Gala,EQ-ETF,3.13,4.35,3.22,-2.84,-1.9,2.38,4,0.42,-0.13,-3.21,Equity : ETFs
Mirae Asset BSE 200 Equal Weight ETF FoF Reg(G),Ekta Gala,FOF-DOM,3.33,4.08,2.32,-2.93,-1.74,2.33,3.81,0.38,-0.14,-3.34,FoFs : Domestic
Mirae Asset BSE 500 Dividend Leaders 50 ETF,Ekta Gala,EQ-ETF,-,-,-,-,-,-,-,-,-,1.25,Equity : ETFs
Mirae Asset BSE Select IPO ETF,Ekta Gala,EQ-ETF,5.03,8.35,3.29,-1.3,-1.02,-0.65,2.99,-2.3,-4.15,-8.07,Equity : ETFs
Mirae Asset BSE Select IPO ETF FoF Reg(G),Ekta Gala,FOF-DOM,5.02,8.2,2.51,-1.34,-0.94,-0.75,2.89,-2.25,-4.96,-7.46,FoFs : Domestic
Mirae Asset BSE Sensex ETF,Ekta Gala,EQ-ETF,3.67,1.74,2.96,-2.76,-1.55,0.58,4.69,2.14,-0.58,-3.44,Equity : ETFs
Mirae Asset Corp Bond Fund Reg(G),Kruti Chheta,DT-CORP,1.62,1,-0.12,0.59,-0.12,0.55,0.76,0.51,0.1,-0.08,Debt : Corporate Bond
Mirae Asset CRISIL IBX Gilt Index   April 2033 Index Fund Reg(G),Pranavi Kulkarni,DT-GILT,2.03,1.28,-0.62,0.52,-1,0.94,0.54,0.74,-0.04,0.06,Debt : Gilt
Mirae Asset CRISIL IBX Financial Services 9 12 Months Debt Index Fund Reg(G),Pranavi Kulkarni,DT-LOWD,-,-,-,0.58,0.44,0.49,0.51,0.47,0.42,0.17,Debt : Low Duration
Mirae Asset Diversified Equity Allocator Passive FOF Reg(G),Siddharth Srivastava,FOF-DOM,3.48,3.04,3.52,-2.76,-1.56,1.19,4.38,1.36,-0.33,-2.95,FoFs : Domestic
Mirae Asset Dynamic Bond Fund Reg(G),Basant Bafna,DT-DYN,1.17,0.93,0.35,0.52,0.18,0.48,0.55,0.41,0.34,0.2,Debt : Dynamic Bond
Mirae Asset ELSS Tax Saver Fund Reg(G),Neelesh Surana,EQ-ELSS,3.67,3.55,3.99,-1.59,-1.98,1.49,4.74,0.93,-0.07,-3.55,Equity : Tax Saving (ELSS)
Mirae Asset Equity Savings Fund Reg(G),Harshad Borawake,HY-EQ,1.72,1.91,1.9,-0.54,-0.83,1.01,2.08,0.6,0.46,-0.72,Hybrid : Equity Oriented
Mirae Asset Flexi Cap Fund Reg(G),Varun Goel,EQ-FLEX,2.39,4.18,4.18,-1.84,-1.62,1.27,4.42,1.51,0.09,-2.65,Equity : Flexi Cap
Mirae Asset Focused Fund Reg(G),Gaurav Misra,EQ-MLC,3.81,4.66,2.47,0.04,-1.75,-0.69,3.46,-0.16,-0.62,-5.79,Equity : Multi Cap
Mirae Asset Global Electric & Autonomous Vehicles Equity Passive FOF Reg(G),Siddharth Srivastava,FOF-OVR,-3.47,6.55,5.34,5.26,9.82,12.07,6.83,-2.22,2.61,10.19,FoFs : Overseas
Mirae Asset Global X Artificial Intelligence & Technology ETF FoF Reg(G),Siddharth Srivastava,FOF-OVR,0.69,9.79,8.54,4.37,1.43,10.68,7.37,-4.77,1.98,4.38,FoFs : Overseas
Mirae Asset Gold ETF,Ritesh Patel,GOLD-ETF,3.91,1.15,0.61,2.42,3.86,12.23,4.81,4.51,5.1,23.35,Gold : ETFs
Mirae Asset Gold ETF FoF Reg(G),Ritesh Patel,GOLD-ETF,6.24,0.52,0.59,2.66,3.53,12.58,3.74,4.56,6.03,19.35,Gold : ETFs
Mirae Asset Gold Silver Passive FoF Reg(G),Ritesh Patel,FOF-DOM,-,-,-,-,-,16.58,4.86,6.73,19.21,27.51,FoFs : Domestic
Mirae Asset Great Consumer Fund Reg(G),Siddhant Chhabria,EQ-CONS,5.45,2.12,3.35,-0.13,2.41,-0.29,1.84,-0.48,-1.03,-7.92,Equity : Thematic - Consumption
Mirae Asset Hang Seng TECH ETF,Siddharth Srivastava,EQ-ETF,-6.34,1.85,2.98,5.07,5.52,14.83,-8.56,-4.71,-0.96,5.67,Equity : ETFs
Mirae Asset Hang Seng TECH ETF FoF Reg(G),Ekta Gala,FOF-OVR,-5.92,1.69,-1.39,7.12,9.41,9.81,-2.17,-6.88,-1.66,6.41,FoFs : Overseas
Mirae Asset Healthcare Fund Reg(G),Vrijesh Kasera,EQ-PHRM,0.51,0.56,3.37,4.27,-4.19,-0.98,2.59,0.04,-1.36,-4.67,Equity : Sectoral - Pharma
Mirae Asset Income plus Arbitrage Active FOF Reg(G),Basant Bafna,FOF-DOM,-,-,-,-,0.28,0.52,0.59,0.49,0.45,0.3,FoFs : Domestic
Mirae Asset Infrastructure Fund Reg(G),Bharti Sawant,EQ-INFRA,-,-,-,-,-,-,-,-,-,-1.99,Equity : Sectoral - Infrastructure
